time,system,kernel,java,containers
1714557238,0,1.8269,0,0
1714557239,0,0,0,0
1714557240,1.0002,0,0,9.0024
1714557241,0,1.8564,0.9284,0
1714557242,0,0,0,0
1714557243,0,0,1.0006,0
1714557244,0.8888,0.8887,0,0
1714557245,0.9408,1.8836,0,0
1714557246,0,0,0,0
1714557247,0,0,0,0
1714557248,0.9255,0,2.7739,0
1714557249,0,0,0,0
1714557250,0,0,0,0
1714557251,0,0.9994,0,0
1714557252,0,0.7006,0,0
1714557253,1.0053,2.0022,158.8814,0
1714557254,0,0,225.0926,0
1714557255,0,1.9928,97.1986,0
1714557256,0.9935,2.9772,67.8102,1.9903
1714557257,1.0074,2.0172,12.0996,9.0485
1714557258,0,1.9878,55.5574,0
1714557259,0,2.7698,22.1115,0
1714557260,0,0,21.9966,0
1714557261,0,2.008,49.0193,0
1714557262,0,0.994,230.8327,0
1714557263,1.0016,1.9978,83.4903,0
1714557264,0,1.0101,232.0681,3.014
1714557265,13.9345,7.9535,75.6557,12.9654
1714557266,33.7848,5.0075,148.6762,7.0068
1714557267,0,1.9826,25.9461,0
1714557268,1.0119,11.0938,17.0191,1.0108
1714557269,3.5285,6.9448,11.988,0
1714557270,0,13.1045,16.0212,0
1714557271,0,36.9755,8.477,0.7699
1714557272,0.6938,29.1559,6.9456,0
1714557273,1.7062,29.0919,24.0657,0
1714557274,0.7485,36.6011,8.1832,0
1714557275,0.8904,16.0616,11.5761,0.8922
1714557276,0,5.7609,10.5634,0
1714557277,0,27.4977,9.17,0
1714557278,0,1.0019,11.0058,0
1714557279,0,1,7.9998,0
1714557280,0.9784,0.978,8.803,0
1714557281,0,0.999,10.9893,74.8956
1714557282,0,0,8.7298,0
1714557283,0,0,8.7019,0
1714557284,0,2.9999,9.9984,0
1714557285,0,0,12.0025,0
1714557286,1.9371,1.9345,17.5065,0.966
1714557287,0,3.6957,11.0792,0
1714557288,0.6671,20.7019,9.3658,0
1714557289,0,9.86,11.267,0.7043
1714557290,0,8.3681,13.3679,0
1714557291,1.008,7.0358,10.01,0
1714557292,0.9895,3.9586,16.9784,0.9912
1714557293,0,1.5648,10.0032,0
1714557294,0.9999,2.9995,36.9992,0
1714557295,0.9998,3.9956,18.9976,1.9988
1714557296,0,6.9282,17.9797,0.9958
1714557297,1.0083,0,13.0135,1.0071
1714557298,1.0003,2.0005,14.0012,0
1714557299,0,0,16,0
1714557300,0,5.0078,11.0019,0
1714557301,0,1.9979,11.9974,0
1714557302,0,1.0013,14.0028,0
1714557303,0.8237,0.8209,11.6434,0
1714557304,1.001,2.0142,14.021,22.8295
1714557305,0.9161,6.4112,10.998,0
1714557306,0,0,9.0006,0
1714557307,0,0,7.9998,0
1714557308,0,0,11.9985,0
1714557309,0,1.9704,9.9904,0
1714557310,0.8859,0.8861,7.9824,0
1714557311,0.7547,0.7542,9.7935,0
1714557312,0,6.0713,11.0162,0
1714557313,0,4.938,16.9708,0
1714557314,0,6.6684,11.4426,0
1714557315,0.5964,5.3786,12.5297,0
1714557316,0.8734,36.622,20.8429,0.8725
1714557317,0,3.6281,11.8937,0.9066
1714557318,0,7.4301,9.0749,0
1714557319,0,17.1467,11.0152,0
1714557320,0.999,3.948,19.9753,0.9958
1714557321,1.0033,4.0163,36.0152,1.0024
1714557322,0.9839,2.9422,11.9882,0
1714557323,0,5.0617,19.0053,0
1714557324,1.0007,2.0238,11.0148,0
1714557325,2.0002,0.9995,10.0012,0
1714557326,0,3.0026,13.9998,59.1475
1714557327,0,4.9987,12.9991,0
1714557328,0.9986,0,12.0002,0.9987
1714557329,0,0.9861,8.8576,0
1714557330,0,1.9335,8.6995,0
1714557331,0,0,8.9997,99.0221
1714557332,0,0.9865,8.8797,0
1714557333,0,0,7.999,0
1714557334,0,0,7.9993,0
1714557335,0.9998,2.0001,11.0014,0
1714557336,0.9355,1.8708,9.3562,0
1714557337,0.9924,1.9794,10.9903,63.004
1714557338,0,2.0012,12.0007,21.9745
1714557339,0,3.0111,11.009,39.6233
1714557340,0,1.0004,9.9946,0
1714557341,0,0,10.001,0
1714557342,0.9761,0.9761,9.7601,0
1714557343,0.9997,0,7.9999,0
1714557344,0.9999,0,8.9986,0
1714557345,0,1.9999,12.001,8.3473
1714557346,0,0,9.0003,0
1714557347,0,1.9153,10.5361,0
1714557348,0.9582,1.9164,9.5796,0.9581
1714557349,0,0,7.4827,0
1714557350,0,0,13.3498,0
1714557351,0.8318,0,11.6319,1.6629
1714557352,0,0,12.0002,0
1714557353,0,5.0438,16.0147,0
1714557354,0.8457,0.8475,6.828,0
1714557355,1.0002,1.0007,12.0036,0
1714557356,0,0.7562,10.6047,0
1714557357,0.6689,1.3528,4.6861,0
1714557358,0,0,4.3075,0
1714557359,0.5349,0,4.8148,0
1714557360,0,0,5.9886,4.2044
1714557361,0,0.9878,6.9938,0
1714557362,0,0,7.0029,0
1714557363,0,0,5.5308,0
1714557364,0,0,5.3987,0
1714557365,0.6684,1.3368,6.6926,0
1714557366,0,0,4.4337,0
1714557367,0,0.5879,5.8751,0
1714557368,0.4479,0.8951,4.4868,0
1714557369,0,0.7541,6.0394,0
1714557370,0,0.9386,12.181,0
1714557371,0.9199,5.5414,18.5799,0
1714557372,0,24.6977,9.3718,0
1714557373,0,6.1227,11.3188,0
1714557374,0,3.002,22.9967,1.0004
1714557375,1.0001,3.0017,12.0017,1.0005
1714557376,0.998,2.9877,12.9985,15.7824
1714557377,0,0.992,7.9212,381.4866
1714557378,0,0,8.0036,379.0136
1714557379,0,0.9979,9.9432,379.839
1714557380,0.999,0.9993,6.9945,386.694
1714557381,0,0,8.0058,381.0112
1714557382,0,0,7.999,381.3082
1714557383,0,0,7.9857,386.7147
1714557384,0,3.0081,6.9879,376.7726
1714557385,1.002,0,9.003,383.2662
1714557386,184.4639,0,20.9975,2.0008
1714557387,11.9735,18.0329,17.0035,12.048
1714557388,1.9982,4.8949,25.0174,13.7365
1714557389,19.0731,5.1008,25.0277,12.2399
1714557390,16.1093,15.4105,25.3579,11.758
1714557391,0.9905,0,11.0115,1.9837
1714557392,0,0,9,0
1714557393,4.5885,0.9975,7.9958,0
1714557394,0,0,6.158,0
1714557395,0.9999,1.9998,10.0008,0
1714557396,0,0,11.4392,0
1714557397,0,2.0021,13.004,0
1714557398,0,0.998,16.9969,0
1714557399,1.0004,0,14.0002,0
1714557400,0.7942,0.7979,11.934,0
1714557401,0,3.0051,41.0059,0
1714557402,0,0.8845,13.2696,0
1714557403,0,0.6788,11.5337,0
1714557404,0.8677,0.8737,13.7593,0
1714557405,1.0001,2.0002,22.0028,0
1714557406,0,1,74.004,0
1714557407,0.977,0,0.9797,0
1714557408,0,1.0133,16.0754,0
1714557409,0,0,0,0
1714557410,0.8562,0.8568,1.7134,0
1714557411,0,0.8579,1.7148,0
1714557412,0.9992,0,0,0
1714557413,0,0.986,0,0
1714557414,0,0,0,0
1714557415,0.9969,0,0.9969,0
1714557416,0,0,0,0
1714557417,0.9095,0,0,0
1714557418,0,1.0002,1.0001,0
1714557419,0.8061,0.8043,0,0
1714557420,0,1.8548,0.9274,0
1714557421,0,0,0,0
1714557422,0,0.8335,0,0
1714557423,0.9228,0.923,0,0
1714557424,0.9283,0.9284,0.9284,0

